,country,restaurant_cnt,cuisines_cnt,cuisine_no_1,cuisine_no_2,cuisine_no_3,cuisine_no_1_cnt,cuisine_no_2_cnt,cuisine_no_3_cnt,cuisine_no_1_prt,cuisine_no_1_country,cuisine_no_2_prt,cuisine_no_2_country,cuisine_no_3_prt,cuisine_no_3_country,national_cuisine_cnt,national_cuisine_prt,€,€€-€€€,€€€€,level_cnt,level_low_part,level_medium_part,level_high_part,vegetarian_friendly,vegan_options,gluten_free,vegetarian_friendly_flg,vegan_options_flg,gluten_free_flg,meals_lunch_flg,meals_dinner_flg,meals_drinks_flg,meals_brunch_flg,meals_after_hours_flg,meals_breakfast_flg,features_seating_flg,features_reservations_flg,features_table_service_flg,features_wheelchair_accessible_flg,features_serves_alcohol_flg,features_takeout_flg,features_outdoor_seating_flg,features_accepts_credit_cards_flg,features_highchairs_available_flg,features_full_bar_flg,features_free_wifi_flg,excellent,very_good,average,poor,terrible,total_reviews_count,corrrect_reviews_cnt,excellent_flg,excellent_and_very_good_flg,terrible_flg,terrible_and_poor_flg,open_days_per_week,open_hours_per_week,working_shifts_per_week,avg_rating,food,service,value,atmosphere,price_min,price_max,break_flg,min_open_dttm_avg,min_open_sec_avg,max_close_dttm_avg,max_close_sec_avg,max_break_hours_avg,max_no_weekend_hours_avg,max_weekend_hours_avg,open_mon_hours_avg,open_tue_hours_avg,open_wed_hours_avg,open_thu_hours_avg,open_fri_hours_avg,open_sat_hours_avg,open_sun_hours_avg
0,Austria,20487,16760,European,Austrian,Central European,10582,9404,2743,0.6313842482100238,,0.5610978520286396,Austria,0.1636634844868735,,9404.0,0.4590227949431347,2695,10267,621,13583,0.19840977692704115,0.7558713097253921,0.04571891334756681,7385,1827,1279,0.36047249475277005,0.08917850344120662,0.06242983355298482,0.4421828476594914,0.49040855176453363,0.0949870649680285,0.06472397129887246,0.04651730365597696,0.18138331624932885,0.1302777371015766,0.15829550446624688,0.10797090838092449,0.05012935031971494,0.04515058329672475,0.033387025918875386,0.032459608532239954,0.017620930346073118,0.02079367403719432,0.016254209986820912,0.02059842827158686,173960.0,98463.0,33296.0,14849.0,18360.0,1030051.0,338928.0,0.5132653542935373,0.8037783836094982,0.05417079733748761,0.09798246235188594,6.091257509840481,66.48347489814239,6.824217940749948,4.144475062000551,4.1879205214465935,4.142812629829663,4.04122742928713,4.054032766225583,5.0,20.0,0.15123264967888958,2022-01-01 10:11:11.255438080,1641017471.0,2022-01-01 21:59:47.414543360,1641059987.0,0 days 00:29:41.044126787,0 days 10:56:38.713486638,0 days 10:19:52.952144189,0 days 08:11:56.929770044,0 days 09:04:17.054070851,0 days 09:47:27.576134245,0 days 10:21:44.207582349,0 days 10:45:20.540708515,0 days 10:02:20.441267868,0 days 07:57:18.222498446
1,Belgium,23711,20507,European,Belgian,French,11912,9992,4634,0.5808748232310919,,0.4872482566928366,Belgium,0.2259716194470181,France,9992.0,0.4214077854160516,3603,14198,935,18736,0.19230358667805295,0.7577924850555081,0.04990392826643894,6143,1612,1228,0.259078065033107,0.06798532326768167,0.05179030829572772,0.4811690776432879,0.5550166589346717,0.07768546244359158,0.06899751170342878,0.05790561342836658,0.08810256842815571,0.27122432626207243,0.2786892159757075,0.24317827168824596,0.1440259795031842,0.15258740668887857,0.07642022689890768,0.06756357808612036,0.03715575049555059,0.036017038505335074,0.02703386613807937,0.02488296571211674,203073.0,135530.0,46453.0,23022.0,27968.0,1604926.0,436046.0,0.46571462643849504,0.7765304577957372,0.0641400219242924,0.11693720387298588,5.713677034512143,48.451675898309894,7.411759693225394,3.995373939861218,4.056040904781255,4.021696782427622,3.9331201615617637,3.8335549277048364,10.0,26.0,0.39113762249680445,2022-01-01 11:08:07.066041856,1641020887.0,2022-01-01 21:45:05.966766080,1641059106.0,0 days 01:29:12.516403920,0 days 08:42:19.510864934,0 days 08:15:06.503621645,0 days 05:16:24.010225820,0 days 06:01:04.279505752,0 days 06:44:51.527907968,0 days 07:37:33.857690669,0 days 08:26:38.111631870,0 days 07:49:32.569237324,0 days 06:22:23.381337878
2,Bulgaria,4469,3851,European,Eastern European,Mediterranean,1589,980,664,0.4126200986756687,,0.25447935601142563,,0.17242274733835367,,0.0,0.0,829,2176,108,3113,0.2663026019916479,0.6990041760359782,0.034693221972373914,1043,531,276,0.23338554486462296,0.11881852763481764,0.061758782725441934,0.46229581561870664,0.4716938912508391,0.13336316849407026,0.1398523159543522,0.07764600581785634,0.21951219512195122,0.1559633027522936,0.16670396061758783,0.13962855224882523,0.04989930633251287,0.08682031774446185,0.0521369433877825,0.07518460505705975,0.02841799060192437,0.026180353546654732,0.036025956589841125,0.04945177892145894,86787.0,27467.0,11273.0,6110.0,8813.0,207750.0,140450.0,0.6179209683161268,0.8134852260590958,0.06274830900676397,0.10625133499466002,6.728754940711463,85.40378787878788,6.793478260869565,4.195942408376963,4.242509363295881,4.178044280442805,4.1504342431761785,4.245614035087719,3.0,15.0,0.0133399209486166,2022-01-01 09:20:04.980237312,1641014405.0,2022-01-01 22:18:15.296442624,1641061095.0,0 days 00:02:26.294466403,0 days 12:44:42.717391304,0 days 12:18:10.405138340,0 days 12:11:57.391304348,0 days 12:29:02.341897233,0 days 12:30:01.926877470,0 days 12:30:46.808300395,0 days 12:36:30.029644269,0 days 12:12:29.347826087,0 days 10:52:46.660079051
3,Croatia,8375,7608,European,Croatian,Mediterranean,5348,5287,3529,0.7029442691903259,,0.6949263932702419,Croatia,0.46385383806519453,,5287.0,0.6312835820895523,1415,4862,298,6575,0.21520912547528517,0.739467680608365,0.04532319391634981,3157,1171,1001,0.376955223880597,0.13982089552238805,0.11952238805970149,0.5069850746268657,0.546865671641791,0.11904477611940298,0.12023880597014926,0.11271641791044776,0.17480597014925373,0.24823880597014925,0.22638805970149253,0.24143283582089553,0.1044776119402985,0.16943283582089552,0.06244776119402985,0.15892537313432836,0.052059701492537316,0.059343283582089554,0.06602985074626866,0.07713432835820895,308457.0,100333.0,36748.0,19934.0,24701.0,922238.0,490173.0,0.6292819065921623,0.8339708633482464,0.05039241247477931,0.0910596870900682,6.724611398963731,87.74785837651123,6.898186528497409,4.141050088990593,4.198630136986301,4.203866248693835,4.104638958858103,4.123826903023983,5.0,25.0,0.02927461139896373,2022-01-01 09:24:48.668393728,1641014689.0,2022-01-01 22:49:26.735751424,1641062967.0,0 days 00:07:01.088082902,0 days 13:04:10.010362694,0 days 12:54:55.352331606,0 days 12:19:35.409326425,0 days 12:38:27.575129534,0 days 12:42:02.549222798,0 days 12:46:30.419689119,0 days 12:51:13.632124352,0 days 12:43:26.860103627,0 days 11:30:39.886010363
4,Czech Republic,14844,11319,European,Czech,Cafe,6271,5394,1939,0.5540242070854315,,0.47654386429896634,Czech Republic,0.17130488559059986,,5394.0,0.3633791430881164,2930,6069,260,9259,0.3164488605680959,0.6554703531698888,0.028080786262015336,2013,710,514,0.13561034761519805,0.04783077337644839,0.03462678523309081,0.46880894637563997,0.46402586903799514,0.14254917811910536,0.07107248720021557,0.04688763136620857,0.14969011048234976,0.14948800862301267,0.14457019671247642,0.13217461600646727,0.06319051468606844,0.09498787388843978,0.06076529237402317,0.0549717057396928,0.04560765292374023,0.032807868499056855,0.04924548639180814,0.058272702775532204,215574.0,92889.0,32900.0,16556.0,24819.0,883173.0,382738.0,0.5632416953634078,0.8059377433126578,0.06484592593366742,0.10810267075649661,6.523330851327873,73.60262472077439,6.63018118639861,4.040271884331291,4.151011312992801,4.061816652649285,4.043077183480027,4.067283163265306,3.0,12.0,0.02345495160089352,2022-01-01 10:10:26.768429056,1641017427.0,2022-01-01 22:05:08.436336640,1641060308.0,0 days 00:04:10.186150410,0 days 11:35:18.064035741,0 days 10:22:03.596425912,0 days 10:23:46.008935220,0 days 10:54:07.334326136,0 days 11:03:41.630677587,0 days 11:06:09.620253165,0 days 11:27:34.013402829,0 days 10:13:10.752047655,0 days 08:22:16.187639613
5,Denmark,9485,7117,European,Danish,Cafe,3186,2774,1288,0.447660531122664,,0.38977097091471125,Denmark,0.1809751299704932,,2774.0,0.2924617817606748,1391,4698,361,6450,0.21565891472868218,0.7283720930232558,0.05596899224806202,1432,623,416,0.15097522403795466,0.06568265682656826,0.04385872430152873,0.38871903004744335,0.42403795466526095,0.1139694254085398,0.08634686346863468,0.033315761729045865,0.11122825513969425,0.15266209804955191,0.13505535055350554,0.11818661043753295,0.07348444913020559,0.07717448603057459,0.08697944122298366,0.05482340537691091,0.059989457037427515,0.047337901950448076,0.02308908803373748,0.02857142857142857,91305.0,57657.0,20839.0,9624.0,9573.0,555245.0,188998.0,0.4831003502682568,0.7881670705510111,0.050651329643699936,0.10157250341273452,6.358716997599825,59.542173976289185,6.59611608116954,3.9304016620498614,4.026227090794186,4.000312369845897,3.895802881603675,3.923466516601013,8.0,27.0,0.05367663102771111,2022-01-01 11:22:39.341042944,1641021759.0,2022-01-01 21:40:08.431158528,1641058808.0,0 days 00:09:02.592188523,0 days 09:42:00.785511674,0 days 09:24:48.308967925,0 days 07:27:59.423958106,0 days 08:21:18.603534803,0 days 08:42:33.122408902,0 days 09:00:58.298058041,0 days 09:28:13.288239145,0 days 09:14:35.845516038,0 days 07:02:28.003491163
6,Finland,7372,5802,European,Scandinavian,Cafe,2125,1204,1179,0.3662530162013099,,0.20751465012064804,,0.203205791106515,,0.0,0.0,941,3275,154,4370,0.21533180778032038,0.7494279176201373,0.035240274599542334,1249,609,506,0.16942485078676073,0.0826098752034726,0.06863809007053717,0.42227346717308734,0.37099837221920784,0.11367335865436788,0.051682040151926206,0.05629408572978839,0.14351600651112317,0.11150298426478568,0.07419967444384157,0.059820944112859466,0.06483993488876831,0.05588714053174173,0.05330982094411286,0.041372761801410744,0.042457948996201846,0.03974498100922409,0.025230602278893108,0.028893109061313076,49326.0,42350.0,17078.0,6231.0,4338.0,247937.0,119323.0,0.4133821643773623,0.7683011657434023,0.03635510337487324,0.08857470898318011,6.306099608282037,62.406999626935274,6.442921096810297,3.936789772727273,3.971233913701741,4.002746246796045,3.824761204996326,3.917458432304038,7.0,20.0,0.03329602686066033,2022-01-01 10:09:53.788472320,1641017394.0,2022-01-01 21:10:09.535534336,1641057010.0,0 days 00:07:11.617235590,0 days 10:23:16.754336877,0 days 09:16:51.925013990,0 days 08:29:44.118634583,0 days 09:10:44.655847790,0 days 09:32:07.923894796,0 days 09:35:04.448796866,0 days 10:15:33.172915501,0 days 09:06:04.801343033,0 days 06:02:54.795747062
7,France,155288,132871,French,European,Italian,84643,31729,16140,0.6370314064016979,France,0.23879552347765878,,0.12147120139082268,Italy,84643.0,0.5450710937097522,33063,86320,6100,125483,0.2634858905190344,0.6879019468772662,0.048612162603699306,26070,7622,2650,0.1678816135181083,0.04908299417855855,0.01706506619957756,0.5960473442893205,0.576058678069136,0.1260432229148421,0.03610710421925712,0.0931301839163361,0.12175441759826902,0.3167855854927618,0.31646360311163774,0.27353691206017205,0.19800628509607954,0.19677631240018545,0.0991705733862243,0.10639585801864922,0.08660038122713926,0.054724125495852864,0.04051826284065736,0.024451342022564524,1388653.0,804833.0,275266.0,155366.0,198309.0,15628055.0,2822427.0,0.4920067020333918,0.7771630586016928,0.0702618703690122,0.12530882109617006,6.111181330899047,51.533433396531144,8.45144301664209,4.018089634884928,4.060964255353601,4.076603450877811,3.9714294352400534,3.8382710512027574,10.0,24.0,0.47476768953491094,2022-01-01 10:37:08.435503104,1641019028.0,2022-01-01 21:36:17.873744640,1641058578.0,0 days 02:06:50.326522014,0 days 08:43:27.355522786,0 days 08:03:36.566252370,0 days 06:09:46.317674321,0 days 07:32:16.290990801,0 days 07:43:30.169229689,0 days 08:10:34.853591742,0 days 08:31:12.320763991,0 days 07:54:47.363949161,0 days 05:19:36.317674321
8,Germany,115333,87491,German,European,Italian,32567,20365,15251,0.3722325724931707,Germany,0.232766798870741,,0.17431507240744762,Italy,32567.0,0.28237364847875285,18228,53939,2860,75027,0.2429525370866488,0.7189278526397164,0.03811961027363482,41195,8986,4134,0.35718311324599206,0.07791351998127162,0.035844034231312806,0.4354607961294686,0.5164003364171573,0.07042216885019899,0.045104176601666476,0.04149722976077966,0.12326047185107471,0.12324313076049352,0.15439639998959534,0.10000606938170342,0.044159087164991805,0.03285269610605811,0.03496830915696288,0.026028976962361162,0.009130084190994772,0.014731256448718059,0.008895979468148752,0.010248584533481311,535917.0,335441.0,116732.0,51806.0,65186.0,4039822.0,1105082.0,0.48495677243860635,0.7885007628393187,0.05898747785232227,0.10586725690944201,6.242099968781435,60.57621434435233,7.394672031634812,4.057724607360698,4.093483544889849,4.037176210277344,3.976119374413752,3.991850989522701,5.0,20.0,0.2481702452391689,2022-01-01 11:03:30.005202944,1641020610.0,2022-01-01 22:08:42.410419968,1641060522.0,0 days 00:45:22.985188525,0 days 09:42:38.757848,0 days 09:44:49.184848590,0 days 07:10:44.604044538,0 days 08:18:50.934128829,0 days 08:53:43.549897672,0 days 09:12:29.671164452,0 days 09:32:19.439800201,0 days 09:14:20.702070831,0 days 08:02:54.119463041
9,Greece,33763,30138,Greek,Mediterranean,Seafood,22191,13886,5541,0.7363129603822417,Greece,0.46074722941137436,,0.18385427035636073,,22191.0,0.657257945087818,9613,16123,648,26384,0.3643496058217101,0.6110900545785325,0.024560339599757428,11306,7767,4329,0.334863608091698,0.23004472351390576,0.12821727927020704,0.4313597725320617,0.4426146965613245,0.12063501466101946,0.13245268489174541,0.12584782157983593,0.2003376477208779,0.16760951337262683,0.13242306667061576,0.16526967390338537,0.09688120131504901,0.11453366110831384,0.08352338358558185,0.11506678908864734,0.07212036845067085,0.04673755294257027,0.04984746616118236,0.09388976098095549,1166355.0,322876.0,109208.0,52172.0,59093.0,3704203.0,1709704.0,0.6821970352762817,0.8710460992078161,0.03456329282729642,0.06507851651513946,6.746997903297541,90.71378423025605,6.8902725713196515,4.325599691724736,4.3352149370386455,4.381413514525708,4.257505773672055,4.34100679517404,5.0,16.0,0.026875913336298365,2022-01-01 09:18:09.168307968,1641014289.0,2022-01-01 23:16:04.056166144,1641064564.0,0 days 00:07:01.227523985,0 days 13:23:26.586187178,0 days 13:25:57.239977127,0 days 12:26:12.473473537,0 days 12:52:31.545841540,0 days 12:58:25.816125548,0 days 13:02:26.197344177,0 days 13:10:39.536184002,0 days 13:14:16.971853358,0 days 12:30:06.648452888
