,country,restaurant_cnt,cuisine,cuisine_cnt
0,Austria,20487,Austrian,9404.0
1,Belgium,23711,Austrian,3.0
2,Bulgaria,4469,Austrian,5.0
3,Croatia,8375,Austrian,6.0
4,Czech Republic,14844,Austrian,25.0
5,Denmark,9485,Austrian,3.0
6,Finland,7372,Austrian,1.0
7,France,155288,Austrian,8.0
8,Germany,115333,Austrian,510.0
9,Greece,33763,Austrian,4.0
10,Hungary,7431,Austrian,14.0
11,Ireland,11203,Austrian,1.0
12,Italy,224763,Austrian,895.0
13,Poland,24698,Austrian,12.0
14,Portugal,32592,Austrian,6.0
15,Romania,7842,Austrian,24.0
16,Slovakia,4251,Austrian,9.0
17,Spain,157479,Austrian,43.0
18,Sweden,18555,Austrian,11.0
19,The Netherlands,29792,Austrian,16.0
20,United Kingdom,171664,Austrian,26.0
21,Austria,20487,European,10582.0
22,Belgium,23711,European,11912.0
23,Bulgaria,4469,European,1589.0
24,Croatia,8375,European,5348.0
25,Czech Republic,14844,European,6271.0
26,Denmark,9485,European,3186.0
27,Finland,7372,European,2125.0
28,France,155288,European,31729.0
29,Germany,115333,European,20365.0
30,Greece,33763,European,4259.0
31,Hungary,7431,European,3732.0
32,Ireland,11203,European,2863.0
33,Italy,224763,European,12880.0
34,Poland,24698,European,10094.0
35,Portugal,32592,European,21440.0
36,Romania,7842,European,3766.0
37,Slovakia,4251,European,1368.0
38,Spain,157479,European,23803.0
39,Sweden,18555,European,5319.0
40,The Netherlands,29792,European,15332.0
41,United Kingdom,171664,European,10473.0
42,Austria,20487,Wine Bar,821.0
43,Belgium,23711,Wine Bar,255.0
44,Bulgaria,4469,Wine Bar,112.0
45,Croatia,8375,Wine Bar,178.0
46,Czech Republic,14844,Wine Bar,216.0
47,Denmark,9485,Wine Bar,104.0
48,Finland,7372,Wine Bar,114.0
49,France,155288,Wine Bar,2891.0
50,Germany,115333,Wine Bar,1325.0
51,Greece,33763,Wine Bar,1122.0
52,Hungary,7431,Wine Bar,149.0
53,Ireland,11203,Wine Bar,152.0
54,Italy,224763,Wine Bar,5509.0
55,Poland,24698,Wine Bar,205.0
56,Portugal,32592,Wine Bar,771.0
57,Romania,7842,Wine Bar,137.0
58,Slovakia,4251,Wine Bar,79.0
59,Spain,157479,Wine Bar,1705.0
60,Sweden,18555,Wine Bar,128.0
61,The Netherlands,29792,Wine Bar,233.0
62,United Kingdom,171664,Wine Bar,1276.0
63,Austria,20487,Bar,1111.0
64,Belgium,23711,Bar,1217.0
65,Bulgaria,4469,Bar,509.0
66,Croatia,8375,Bar,520.0
67,Czech Republic,14844,Bar,1177.0
68,Denmark,9485,Bar,389.0
69,Finland,7372,Bar,555.0
70,France,155288,Bar,7745.0
71,Germany,115333,Bar,3986.0
72,Greece,33763,Bar,2731.0
73,Hungary,7431,Bar,484.0
74,Ireland,11203,Bar,1851.0
75,Italy,224763,Bar,19287.0
76,Poland,24698,Bar,1184.0
77,Portugal,32592,Bar,1933.0
78,Romania,7842,Bar,688.0
79,Slovakia,4251,Bar,312.0
80,Spain,157479,Bar,13181.0
81,Sweden,18555,Bar,1014.0
82,The Netherlands,29792,Bar,1863.0
83,United Kingdom,171664,Bar,28771.0
84,Austria,20487,Pizza,1503.0
85,Belgium,23711,Pizza,1076.0
86,Bulgaria,4469,Pizza,466.0
87,Croatia,8375,Pizza,1292.0
88,Czech Republic,14844,Pizza,734.0
89,Denmark,9485,Pizza,711.0
90,Finland,7372,Pizza,801.0
91,France,155288,Pizza,12529.0
92,Germany,115333,Pizza,8758.0
93,Greece,33763,Pizza,1538.0
94,Hungary,7431,Pizza,535.0
95,Ireland,11203,Pizza,873.0
96,Italy,224763,Pizza,55432.0
97,Poland,24698,Pizza,2361.0
98,Portugal,32592,Pizza,1574.0
99,Romania,7842,Pizza,1017.0
100,Slovakia,4251,Pizza,377.0
101,Spain,157479,Pizza,8779.0
102,Sweden,18555,Pizza,1752.0
103,The Netherlands,29792,Pizza,1124.0
104,United Kingdom,171664,Pizza,10838.0
105,Austria,20487,Cafe,2205.0
106,Belgium,23711,Cafe,1161.0
107,Bulgaria,4469,Cafe,462.0
108,Croatia,8375,Cafe,667.0
109,Czech Republic,14844,Cafe,1939.0
110,Denmark,9485,Cafe,1288.0
111,Finland,7372,Cafe,1179.0
112,France,155288,Cafe,5305.0
113,Germany,115333,Cafe,11643.0
114,Greece,33763,Cafe,5190.0
115,Hungary,7431,Cafe,1002.0
116,Ireland,11203,Cafe,2446.0
117,Italy,224763,Cafe,15772.0
118,Poland,24698,Cafe,2255.0
119,Portugal,32592,Cafe,2707.0
120,Romania,7842,Cafe,956.0
121,Slovakia,4251,Cafe,599.0
122,Spain,157479,Cafe,13366.0
123,Sweden,18555,Cafe,2038.0
124,The Netherlands,29792,Cafe,2273.0
125,United Kingdom,171664,Cafe,34735.0
126,Austria,20487,Pub,1077.0
127,Belgium,23711,Pub,1200.0
128,Bulgaria,4469,Pub,444.0
129,Croatia,8375,Pub,406.0
130,Czech Republic,14844,Pub,1250.0
131,Denmark,9485,Pub,312.0
132,Finland,7372,Pub,598.0
133,France,155288,Pub,5983.0
134,Germany,115333,Pub,4131.0
135,Greece,33763,Pub,1867.0
136,Hungary,7431,Pub,417.0
137,Ireland,11203,Pub,1786.0
138,Italy,224763,Pub,18144.0
139,Poland,24698,Pub,1316.0
140,Portugal,32592,Pub,1543.0
